EmployeId,Name,Gender,Age,MaritalStatus,Turnover,Travelling,Vertical,Qualifications,Education,Satisfaction,Engagement,Level,Role,Daily,Hour,Monthly,MonthlyRate,Work Experience,OverTime,SalaryHike,Last Rating,Hours,TrainingTimesLastYear,Work&Life,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrentManager,DistanceFromHome
IDRD836,Alisa,F,25,Married,No,Mostly,Research & Development,3,Life Sciences,4,3,1,Laboratory Technician,927,30,2481,12569,1,No,16,3,80,2,4,10,8,0,7,27
IDSL280,Alisha,F,50,Married,No,Sometimes,Sales,4,Technical Degree,3,3,4,Manager,167,50,19717,26933,4,No,11,3,80,1,3,12,8,4,15,8
IDRD371,Alison,F,37,Divorced,No,Sometimes,Research & Development,4,Medical,3,3,2,Laboratory Technician,1287,86,4959,6242,1,No,15,3,80,2,3,13,12,12,12,21
IDRD773,Alissa,F,32,Married,No,Sometimes,Research & Development,4,Other,3,3,2,Healthcare Representative,907,43,7481,26583,1,No,17,3,80,2,3,10,8,4,7,7
IDHR056,Aliyah,F,37,Single,Yes,Mostly,Human Resources,2,Medical,3,2,1,Laboratory Technician,109,40,2386,5100,1,No,15,3,80,2,3,2,2,2,2,3
IDRD405,Allan,M,41,Married,No,No,Research & Development,2,Technical Degree,4,4,1,Research Scientist,880,90,3107,10074,2,No,12,3,80,3,2,0,0,0,0,3
IDRD187,Allen,M,21,Divorced,No,No,Research & Development,4,Life Sciences,1,2,2,Research Scientist,653,32,5008,19470,4,No,22,4,80,3,2,4,2,0,3,1
IDRD681,Allie,F,54,Single,Yes,Mostly,Research & Development,4,Medical,1,4,1,Laboratory Technician,452,32,2374,13928,1,No,14,3,80,2,4,20,8,6,7,1
IDRD154,Allison,F,31,Married,No,Sometimes,Research & Development,3,Life Sciences,1,3,4,Manager,600,55,14495,15605,4,Yes,11,3,80,2,2,5,3,2,3,5
IDRD645,Allyson,F,31,Divorced,Yes,No,Research & Development,4,Medical,4,3,1,Research Scientist,510,62,2401,4978,8,No,17,3,80,5,3,4,2,0,2,1
IDRD304,Alma,F,46,Divorced,No,Sometimes,Research & Development,5,Medical,2,3,1,Healthcare Representative,231,94,2527,22870,0,No,12,3,80,2,2,2,2,2,2,13
IDSL376,Alondra,F,32,Single,No,Sometimes,Sales,2,Marketing,1,3,3,Sales Executive,697,87,19717,14087,0,Yes,11,3,80,6,2,1,0,0,0,5
IDSL356,Alonzo,M,24,Married,No,Mostly,Sales,4,Medical,4,3,2,Sales Executive,1151,91,4301,2252,2,No,16,3,80,5,3,2,2,0,2,22
IDRD960,Alta,F,48,Single,No,Sometimes,Research & Development,3,Medical,3,3,2,Manufacturing Director,1315,99,5197,4295,3,Yes,11,3,80,3,1,8,7,7,7,2
IDRD703,Alton,M,41,Married,No,Sometimes,Research & Development,1,Medical,4,3,5,Manager,320,74,13346,19047,2,Yes,14,3,80,3,3,18,6,14,17,22
IDRD301,Alvin,M,30,Divorced,No,Sometimes,Research & Development,2,Medical,3,4,2,Laboratory Technician,115,68,2432,12836,5,No,12,3,80,0,3,11,0,0,0,1
IDRD943,Alyson,F,45,Married,No,Sometimes,Research & Development,3,Life Sciences,3,2,3,Research Director,382,80,10845,9032,1,Yes,25,4,80,2,3,10,8,5,8,13
IDRD155,Alyssa,F,32,Married,No,Mostly,Research & Development,3,Life Sciences,4,3,2,Manufacturing Director,440,79,5114,23334,1,No,13,3,80,2,2,10,12,0,9,25
IDSL017,Amanda,F,18,Single,No,Sometimes,Sales,5,Marketing,3,3,1,Sales Representative,1495,58,4879,26933,1,Yes,12,3,80,2,3,3,3,2,1,9
IDRD912,Amaya,F,40,Married,No,Sometimes,Research & Development,2,Life Sciences,3,3,3,Healthcare Representative,295,37,7833,19133,2,No,16,3,80,2,3,7,7,7,5,21
IDHR007,Amber,F,31,Married,No,Mostly,Human Resources,4,Life Sciences,4,4,2,Human Resources,505,76,4871,15814,1,No,17,3,80,3,4,7,7,0,0,15
IDRD251,Amelia,F,23,Single,No,Sometimes,Research & Development,3,Life Sciences,1,2,2,Healthcare Representative,743,41,4520,26897,3,No,13,3,80,0,3,2,2,2,2,28
IDRD882,Amir,M,48,Single,No,Sometimes,Research & Development,4,Life Sciences,4,3,5,Manager,557,97,19589,17433,2,Yes,13,3,80,4,4,5,2,4,2,2
IDRD854,Amos,M,49,Married,No,No,Research & Development,4,Medical,1,4,4,Laboratory Technician,1198,73,3448,12026,2,No,12,3,80,2,3,7,7,6,1,28
IDRD055,Amy,F,26,Single,Yes,Mostly,Research & Development,2,Life Sciences,3,2,1,Research Scientist,1341,68,4270,7802,0,No,21,4,80,3,3,5,2,1,2,1
IDRD407,Ana,F,24,Single,No,Mostly,Research & Development,3,Life Sciences,4,3,1,Laboratory Technician,457,95,2883,14153,1,No,18,3,80,4,3,4,2,1,2,1
IDRD705,Anastasia,F,45,Divorced,No,Mostly,Research & Development,2,Life Sciences,2,2,2,Manufacturing Director,185,44,4364,9340,2,Yes,22,4,80,0,3,7,4,0,3,1
IDSL172,Andre,M,33,Single,No,Sometimes,Sales,3,Life Sciences,1,3,2,Sales Executive,1255,86,4621,17534,1,No,13,3,80,3,3,10,7,1,7,2
IDRD093,Andrea,F,31,Single,No,No,Research & Development,3,Medical,4,2,1,Laboratory Technician,418,73,3047,26174,3,No,12,3,80,2,2,8,4,0,9,5
IDRD471,Andres,M,50,Single,No,Sometimes,Research & Development,4,Life Sciences,3,3,2,Healthcare Representative,812,64,4711,22878,7,No,25,4,80,3,4,0,3,0,5,2
IDRD017,Andrew,M,34,Divorced,No,Sometimes,Research & Development,3,Technical Degree,3,2,2,Research Scientist,1328,43,5520,9984,6,No,11,3,80,0,3,5,1,1,2,8
IDRD441,Andy,M,44,Married,No,Sometimes,Research & Development,1,Life Sciences,4,3,1,Laboratory Technician,167,32,2189,15984,3,No,14,3,80,3,3,4,2,0,2,1
IDRD219,Angel,M,55,Divorced,No,No,Research & Development,2,Medical,3,3,2,Manufacturing Director,276,47,4245,7521,1,No,21,4,80,0,2,16,10,10,3,19
IDRD423,Angel,F,37,Single,No,Sometimes,Research & Development,3,Technical Degree,3,3,1,Laboratory Technician,609,33,2082,9268,1,No,14,3,80,3,2,6,2,1,6,24
IDSL024,Angela,F,33,Married,No,Sometimes,Sales,2,Medical,4,3,4,Sales Executive,518,67,19845,22716,7,No,23,4,80,4,3,8,7,7,7,5
IDRD434,Angelica,F,29,Divorced,No,Sometimes,Research & Development,4,Medical,1,3,2,Manufacturing Director,1227,41,1509,25597,3,No,11,3,80,1,3,8,3,0,1,20
IDRD373,Angelina,F,27,Married,No,Sometimes,Research & Development,1,Life Sciences,3,3,1,Research Scientist,1269,31,2846,18567,5,No,11,3,80,3,3,3,2,1,2,6
IDSL396,Angeline,F,49,Single,No,Mostly,Sales,2,Marketing,1,3,2,Sales Executive,826,51,4540,10480,0,No,13,3,80,6,3,8,7,1,6,2
IDRD954,Angelique,F,36,Married,No,Sometimes,Research & Development,3,Medical,2,3,1,Manufacturing Director,1436,81,2171,7131,0,No,13,3,80,2,1,10,7,5,7,27
IDRD491,Angelo,M,27,Divorced,No,Sometimes,Research & Development,1,Life Sciences,3,1,1,Laboratory Technician,1049,62,3527,26897,0,Yes,23,4,80,6,1,4,4,0,2,2
IDRD569,Angie,F,45,Single,No,Sometimes,Research & Development,4,Medical,2,2,2,Manufacturing Director,1318,77,6885,16874,1,No,11,3,80,5,4,10,9,0,8,2
IDSL100,Anita,F,34,Married,No,Mostly,Sales,1,Life Sciences,3,3,2,Sales Executive,109,44,6067,13915,1,No,15,3,80,3,3,20,8,2,7,20
IDSL041,Ann,F,31,Married,Yes,Sometimes,Sales,1,Life Sciences,3,3,1,Sales Representative,212,42,3164,15087,3,Yes,23,4,80,2,4,1,0,0,0,17
IDRD037,Anna,F,24,Single,Yes,Mostly,Research & Development,4,Life Sciences,3,2,1,Research Scientist,464,62,2650,26933,1,Yes,23,4,80,2,4,9,0,0,0,15
IDHR044,Annabelle,F,25,Married,No,Sometimes,Human Resources,3,Technical Degree,2,3,2,Human Resources,1257,44,4249,23387,1,Yes,11,3,80,4,3,3,2,1,2,1
IDSL064,Anne,F,31,Married,No,Sometimes,Sales,3,Life Sciences,3,3,2,Sales Executive,720,74,5975,5157,3,Yes,11,3,80,1,3,6,4,1,5,3
IDSL128,Annette,F,28,Married,No,Sometimes,Sales,3,Medical,3,4,1,Sales Representative,480,86,2445,26475,1,Yes,25,4,80,2,3,1,0,0,0,2
IDHR008,Annie,F,39,Married,No,Sometimes,Human Resources,4,Life Sciences,4,3,2,Healthcare Representative,1078,45,5322,17279,1,No,13,3,80,3,2,3,2,0,2,29
IDRD013,Anthony,M,44,Married,No,Mostly,Research & Development,4,Life Sciences,2,2,3,Research Director,1144,51,19522,18474,5,Yes,18,3,80,2,3,10,0,4,10,26
IDSL246,Antoinette,F,30,Married,No,Mostly,Sales,1,Human Resources,3,3,3,Sales Executive,195,41,9502,22754,1,No,21,4,80,1,3,19,7,1,10,2
IDRD866,Antonia,F,32,Single,No,No,Research & Development,3,Life Sciences,4,3,1,Laboratory Technician,526,57,2458,20343,1,Yes,12,3,80,4,3,5,3,0,3,1
IDRD201,Antonio,M,55,Single,No,Mostly,Research & Development,3,Other,4,3,4,Healthcare Representative,189,81,11401,6079,2,No,15,3,80,3,3,3,2,2,2,8
IDRD206,April,F,48,Single,No,Sometimes,Research & Development,2,Medical,2,1,3,Manufacturing Director,317,73,10900,6851,1,Yes,15,3,80,2,2,10,7,5,8,7
IDRD660,Archie,M,40,Married,No,Mostly,Research & Development,1,Other,1,3,1,Laboratory Technician,1278,50,3691,6224,2,Yes,18,3,80,2,2,3,2,0,2,2
IDRD642,Aria,F,30,Married,No,Sometimes,Research & Development,3,Life Sciences,1,3,1,Laboratory Technician,1186,52,3277,16557,7,No,17,3,80,2,2,5,3,0,2,8
IDRD417,Ariana,F,28,Single,No,Sometimes,Research & Development,3,Life Sciences,3,2,1,Research Scientist,1131,54,2217,3259,1,Yes,13,3,80,3,2,3,2,1,2,3
IDSL223,Arianna,F,41,Divorced,No,Sometimes,Sales,3,Medical,4,3,3,Sales Executive,1131,62,7231,2593,1,No,11,3,80,3,4,10,7,2,6,24
IDRD523,Ariel,F,56,Divorced,No,Mostly,Research & Development,2,Life Sciences,1,1,2,Manufacturing Director,945,30,3118,21841,4,Yes,23,4,80,4,2,4,4,1,2,12
IDRD328,Arlene,F,42,Divorced,No,Sometimes,Research & Development,3,Other,2,3,2,Manufacturing Director,939,35,5357,20184,4,No,15,3,80,2,4,4,2,0,3,1
IDSL254,Armando,M,25,Married,No,Sometimes,Sales,3,Life Sciences,1,3,2,Sales Executive,990,41,4869,22359,3,No,18,3,80,2,4,7,3,7,2,17
IDRD409,Arnold,M,40,Married,No,Sometimes,Research & Development,4,Medical,3,4,2,Research Director,547,72,6367,22467,3,No,23,4,80,5,3,4,4,1,2,2
IDRD079,Arthur,M,35,Married,No,Sometimes,Research & Development,3,Life Sciences,3,3,2,Healthcare Representative,518,96,4281,15482,3,No,20,4,80,3,3,17,7,0,7,6
IDRD620,Arturo,M,27,Single,No,Sometimes,Research & Development,3,Medical,4,2,1,Research Scientist,852,31,2506,8129,6,No,11,3,80,5,3,1,8,7,0,11
IDRD601,Asher,M,21,Married,No,Sometimes,Research & Development,1,Medical,1,2,1,Manufacturing Director,1036,59,2519,26897,1,No,22,4,80,2,2,3,2,0,2,9
IDRD690,Ashlee,F,52,Married,Yes,Sometimes,Research & Development,2,Medical,3,3,2,Laboratory Technician,664,32,9629,5116,4,Yes,13,3,80,5,3,1,0,0,0,2
IDSL394,Ashleigh,F,40,Single,No,Sometimes,Sales,4,Marketing,3,3,5,Manager,1455,66,10943,10828,5,No,18,3,80,1,2,1,0,0,0,10
IDRD036,Ashley,F,23,Single,No,Sometimes,Research & Development,1,Life Sciences,1,1,1,Research Scientist,120,90,2064,25031,1,No,24,4,80,2,2,6,4,1,4,16
IDRD713,Ashlyn,F,34,Single,No,Sometimes,Research & Development,2,Life Sciences,4,3,1,Research Scientist,436,57,3068,7359,4,No,15,3,80,3,4,3,2,6,3,1
IDSL255,Ashton,M,36,Married,No,Mostly,Sales,3,Medical,1,4,2,Sales Executive,377,49,6079,18084,4,No,12,3,80,4,2,6,4,5,4,3
IDHR061,Asia,F,27,Single,No,Sometimes,Human Resources,4,Medical,1,3,1,Research Scientist,1271,97,4507,9707,1,No,21,4,80,2,3,6,2,2,4,2
IDSL403,Athena,F,45,Single,No,Mostly,Sales,2,Other,1,2,2,Sales Executive,1085,78,5355,9459,5,Yes,13,3,80,3,3,1,0,0,0,9
IDRD764,Aubree,F,29,Married,No,Mostly,Research & Development,3,Medical,3,3,2,Manufacturing Director,1374,41,4622,19228,1,No,13,3,80,5,2,5,3,1,3,21
IDRD387,Aubrey,F,47,Divorced,No,Sometimes,Research & Development,3,Life Sciences,4,3,3,Research Director,1426,75,15000,23054,3,No,15,3,80,2,3,12,12,14,11,7
IDRD924,Aubrey,M,30,Married,No,Sometimes,Research & Development,1,Medical,4,2,1,Research Scientist,841,74,3302,15027,1,No,14,3,80,4,3,10,8,0,7,16
IDRD174,Audrey,F,33,Divorced,No,Sometimes,Research & Development,3,Life Sciences,2,3,1,Research Scientist,633,48,2543,6946,1,Yes,11,3,80,2,3,10,8,3,7,12
IDRD717,August,M,30,Divorced,No,Sometimes,Research & Development,2,Life Sciences,4,2,1,Laboratory Technician,1290,39,2911,15062,2,No,15,3,80,3,2,3,2,0,2,1
IDRD593,Aurora,F,56,Married,No,No,Research & Development,3,Life Sciences,2,3,4,Research Director,406,54,11511,21676,0,No,11,3,80,2,3,21,8,7,9,4
IDRD108,Austin,M,29,Divorced,No,Sometimes,Research & Development,4,Medical,2,3,1,Laboratory Technician,671,71,2047,17974,1,No,12,3,80,2,3,4,3,0,3,5
IDRD364,Autumn,F,26,Married,No,Sometimes,Research & Development,3,Technical Degree,4,4,1,Laboratory Technician,294,55,2523,6077,1,No,12,3,80,2,2,1,0,0,1,10
IDSL079,Ava,F,50,Single,No,Sometimes,Sales,2,Life Sciences,2,2,2,Sales Executive,969,79,5048,9770,3,No,11,3,80,4,3,5,3,0,4,19
IDRD360,Avery,F,43,Married,No,Sometimes,Research & Development,2,Life Sciences,4,3,1,Laboratory Technician,555,89,2852,6804,1,Yes,11,3,80,4,3,5,3,1,2,6
IDSL297,Avery,M,40,Divorced,No,Sometimes,Sales,3,Marketing,3,3,4,Manager,980,91,19151,7480,2,No,13,3,80,2,3,4,4,0,2,20
IDRD752,Axel,M,27,Married,No,Sometimes,Research & Development,1,Medical,4,1,1,Research Scientist,506,70,2360,7279,0,No,19,3,80,5,3,6,1,0,1,22
IDRD515,Ayden,M,42,Married,No,Sometimes,Research & Development,1,Medical,3,3,3,Healthcare Representative,1495,62,10573,3782,2,No,12,3,80,4,3,16,7,8,2,8
IDRD419,Bailey,F,30,Single,No,Sometimes,Research & Development,2,Medical,2,1,2,Manufacturing Director,1019,38,6037,12653,3,No,14,3,80,2,1,5,2,3,3,18
IDRD016,Barbara,F,22,Divorced,No,Mostly,Research & Development,3,Life Sciences,3,3,1,Laboratory Technician,1397,73,2885,16833,1,Yes,12,3,80,3,3,0,0,0,0,2
IDSL118,Barry,M,31,Divorced,Yes,No,Sales,2,Life Sciences,2,3,2,Sales Executive,111,96,4494,11966,1,No,13,3,80,5,4,8,7,7,7,27
IDRD254,Beatrice,F,35,Divorced,No,Sometimes,Research & Development,3,Life Sciences,4,3,2,Research Director,172,67,6386,21770,1,No,13,3,80,1,3,10,5,1,7,2
IDSL367,Beau,M,19,Married,Yes,Sometimes,Sales,3,Life Sciences,4,3,2,Sales Executive,1070,69,6027,15348,1,Yes,16,3,80,2,1,0,0,0,0,8
IDRD464,Becky,F,27,Married,No,Sometimes,Research & Development,2,Medical,3,3,2,Manufacturing Director,830,61,4578,22077,3,No,13,3,80,6,3,8,4,1,4,3
IDRD506,Belinda,F,31,Single,No,No,Research & Development,4,Technical Degree,3,3,1,Laboratory Technician,485,36,2101,16313,4,No,22,4,80,2,3,8,2,2,0,7
IDRD571,Bella,F,40,Divorced,No,Sometimes,Research & Development,3,Life Sciences,3,3,5,Manager,231,98,18398,22552,2,No,11,3,80,3,3,5,2,1,3,15
IDRD470,Ben,M,29,Married,No,Sometimes,Research & Development,4,Life Sciences,3,3,1,Research Scientist,975,65,2038,5466,1,No,17,3,80,4,3,9,4,0,4,1
IDRD049,Benjamin,M,37,Divorced,No,Mostly,Research & Development,3,Technical Degree,3,3,2,Laboratory Technician,926,44,4842,14314,1,No,17,3,80,5,3,10,7,9,7,4
IDRD748,Bennett,M,39,Single,No,Sometimes,Research & Development,2,Technical Degree,3,2,1,Research Scientist,954,30,2461,22882,0,No,14,3,80,2,4,3,2,1,2,1
IDRD650,Bennie,M,27,Single,Yes,Mostly,Research & Development,3,Life Sciences,3,2,1,Laboratory Technician,461,75,1102,13816,1,Yes,12,3,80,5,3,1,0,0,0,9
IDSL327,Benny,M,28,Married,No,Sometimes,Sales,3,Medical,3,4,2,Sales Executive,141,45,4218,24194,2,Yes,19,3,80,1,2,6,2,0,2,20
IDSL340,Bentley,M,38,Single,Yes,No,Sales,4,Marketing,4,3,2,Sales Executive,1021,34,4770,13722,2,Yes,14,3,80,3,3,9,7,6,7,19
IDRD618,Bernadette,F,29,Divorced,Yes,Mostly,Research & Development,3,Life Sciences,1,2,1,Laboratory Technician,388,75,2798,15955,1,No,11,3,80,2,3,1,0,4,0,19
IDSL109,Bernard,M,37,Married,No,Sometimes,Sales,3,Marketing,2,3,2,Sales Executive,1424,35,5481,9021,2,No,18,3,80,3,2,7,7,5,5,18
IDSL120,Bernice,F,40,Married,No,Sometimes,Sales,3,Marketing,2,3,3,Sales Executive,1284,62,10657,19028,2,No,14,3,80,2,3,33,2,2,2,1
IDRD868,Bert,M,42,Married,No,Sometimes,Research & Development,4,Life Sciences,4,4,2,Laboratory Technician,111,59,5460,13748,1,Yes,16,3,80,5,3,18,6,6,7,6
IDRD247,Bertha,F,42,Single,No,Sometimes,Research & Development,2,Technical Degree,4,3,1,Research Scientist,507,50,3498,20919,6,Yes,12,3,80,4,2,0,8,7,5,24
IDRD291,Bessie,F,29,Married,No,Sometimes,Research & Development,2,Life Sciences,1,3,3,Manufacturing Director,1088,78,9262,19782,4,Yes,21,4,80,2,2,9,8,0,7,4
IDHR018,Beth,F,51,Single,No,No,Human Resources,4,Life Sciences,3,2,3,Manufacturing Director,244,66,10220,12495,3,No,21,4,80,2,4,5,3,0,4,4
IDRD406,Bethany,F,27,Married,Yes,Sometimes,Research & Development,1,Medical,4,2,1,Laboratory Technician,828,66,3934,26897,0,No,17,3,80,2,4,4,3,1,4,2
IDSL325,Betsy,F,45,Single,No,Sometimes,Sales,2,Marketing,2,4,1,Sales Representative,964,79,2235,14906,0,Yes,13,3,80,4,3,6,2,1,2,2
IDSL405,Bette,F,38,Married,No,Mostly,Sales,3,Medical,4,3,2,Sales Executive,1233,51,4647,17202,0,No,19,3,80,2,2,5,5,0,5,2
IDSL378,Bettie,F,57,Single,No,Sometimes,Sales,3,Life Sciences,4,3,4,Manager,1295,37,16758,14498,3,Yes,11,3,80,5,3,4,7,0,0,2
IDRD032,Betty,F,42,Married,No,Sometimes,Research & Development,4,Other,2,3,3,Healthcare Representative,575,81,8940,15520,2,No,12,3,80,2,3,6,4,2,2,14
IDRD519,Beulah,F,46,Married,No,Sometimes,Research & Development,2,Life Sciences,2,3,2,Laboratory Technician,328,63,4450,18673,0,No,18,3,80,1,3,7,5,0,7,1
IDRD119,Beverly,F,30,Married,No,Sometimes,Research & Development,4,Medical,3,3,2,Research Scientist,1217,42,5401,12978,3,Yes,14,3,80,3,2,17,7,11,7,5
